ccode,year,instab,coldwar,democracy,gdplag
2,1952,.37229049,1,100,11.655999
2,1953,-.54505128,1,100,11.819
2,1954,-.44684914,1,100,12.188
2,1956,-.451193,1,100,12.472
2,1957,-.66395742,1,100,12.469999
2,1958,.42393842,1,100,12.456
2,1959,-.58468664,1,100,12.145
2,1960,-1.9938339,1,100,12.729
2,1961,-.1816345,1,100,12.821001
2,1962,-.95679116,1,100,12.885999
2,1963,-4.6553597,1,100,13.454999
2,1964,-1.587412,1,100,13.846001
2,1965,-.9654789,1,100,14.463
2,1966,-1.4539183,1,100,15.229999
2,1967,-4.2080975,1,100,16.019001
2,1968,-4.4577503,1,100,16.198
2,1969,-1.9739285,1,100,16.803999
2,1970,-1.0979985,1,100,17.186003
2,1971,-.54505128,1,100,17.014999
2,1972,-.50541592,1,100,17.385998
2,1973,-.074740894,1,100,18.160002
2,1974,-.38828239,1,100,19.037998
2,1975,-.85681635,1,100,18.731998
2,1976,-.38828239,1,100,18.41
2,1977,-.76038688,1,100,19.306997
2,1978,-1.1703541,1,100,20.063999
2,1979,-.7982496,1,100,20.999001
2,1980,-.38828239,1,100,21.442999
2,1981,-.56398267,1,100,21.049999
2,1982,-.44684914,1,100,21.393002
2,1983,-.6811161,1,100,20.786999
2,1984,-.6811161,1,100,21.557001
2,1985,-.38828239,1,100,23.089998
2,1986,-.38828239,1,100,23.743002
2,1987,-.38828239,1,100,24.305998
2,1988,-.38828239,1,100,24.928001
2,1989,-.38828239,1,100,25.737999
2,1990,-.56398267,0,100,26.361
2,1991,-.62254941,0,100,26.481998
2,1992,-.64325339,0,100,26.002001
2,1993,-.38828239,0,100,26.582001
2,1994,-.38828239,0,100,26.946997
2,1995,-.38828239,0,100,27.802998
2,1996,-.64325339,0,100,28.253
2,1997,-.38828239,0,100,29.021004
20,1952,-.38828239,1,100,9.3019991
20,1953,-.38828239,1,100,9.6949997
20,1954,-.38828239,1,100,9.8859997
20,1956,-.38828239,1,100,10.009
20,1957,-.38828239,1,100,10.672001
20,1958,.0423926,1,100,10.493001
20,1959,-.38828239,1,100,10.310999
20,1960,-.38828239,1,100,10.439999
20,1961,-.38828239,1,100,10.398999
20,1962,-.38828239,1,100,10.376999
20,1963,.8804636,1,100,10.921
20,1964,-.098019868,1,100,11.271001
20,1965,-.42791778,1,100,11.821999
20,1966,-.44684914,1,100,12.460999
20,1967,-.38828239,1,100,13.029001
20,1968,-.38828239,1,100,13.022999
20,1969,.70218843,1,100,13.465001
20,1970,3.0206709,1,100,14.031
20,1971,-.44684914,1,100,14.025001
20,1972,-.38828239,1,100,14.630998
20,1973,-.38828239,1,100,15.206001
20,1974,-.38828239,1,100,16.107
20,1975,-.31702945,1,100,16.525997
20,1976,1.0794429,1,100,16.467999
20,1977,-.38828239,1,100,17.209
20,1978,-.38828239,1,100,17.516001
20,1979,.10095935,1,100,18.051001
20,1980,-.38828239,1,100,18.797998
20,1981,-.38828239,1,100,18.76
20,1982,.0423926,1,100,19.285999
20,1984,-.38828239,1,100,18.525002
20,1985,-.38828239,1,100,19.536999
20,1986,-.38828239,1,100,20.482998
20,1987,.17221229,1,100,20.845999
20,1988,-.38828239,1,100,21.541002
20,1989,-.38828239,1,100,22.379002
20,1990,-.62432206,0,100,22.597
20,1991,.10095935,0,100,22.131001
20,1993,-.38828239,0,100,21.187002
20,1994,-.38828239,0,100,21.535
20,1995,-.38828239,0,100,22.316002
20,1996,-.3755962,0,100,22.889999
20,1997,-.38828239,0,100,23.076998
40,1961,1.6631063,1,11.666668,7.6789999
40,1962,1.7027417,1,15.000001,7.6789999
40,1963,-.38828239,1,15.000001,7.6789999
40,1964,-.058384486,1,15.000001,7.6789999
40,1965,-.38828239,1,15.000001,7.6789999
40,1966,-.42791778,1,15.000001,7.6789999
40,1967,-.38828239,1,15.000001,7.6789999
40,1968,-.38828239,1,15.000001,7.6789999
40,1969,-.058384486,1,15.000001,7.6789999
40,1970,.76075518,1,15.000001,7.6789999
40,1971,-.38828239,1,15.000001,7.6789999
40,1972,-.38828239,1,15.000001,7.6789999
40,1973,-.38828239,1,15.000001,7.6789999
40,1974,-.38828239,1,15.000001,7.6789999
40,1975,-.38828239,1,15.000001,7.6789999
40,1976,-.38828239,1,15.000001,7.6789999
40,1977,-.38828239,1,15.000001,7.6789999
40,1978,-.38828239,1,15.000001,7.6789999
40,1979,-.38828239,1,15.000001,7.6789999
40,1980,-.38828239,1,15.000001,7.6789999
40,1981,-.38828239,1,15.000001,7.6789999
40,1982,-.38828239,1,15.000001,7.6789999
