siblings,height07,height16,height33,gwage33,momed,daded,LogWage33,female
,47.007847,65.354324,66.929131,12.428572,9.5,9.5,2.5199981,0
4,49.999981,,70.078743,7.0270271,,,1.9497638,0
4,49.015743,,70.078743,5.1219511,,,1.6335354,0
3,,61.417301,62.598427,5.4857144,,,1.7021474,1
3,47.992119,62.20472,62.992126,8.3666668,10.5,10.5,2.1242557,1
8,44.015713,61.023594,61.023621,8,17,19,2.0794415,1
4,49.999981,63.779522,65.354332,3.7948718,10.5,10.5,1.3336506,1
3,47.992119,,68.897636,8.333333,10.5,10.5,2.1202636,0
,45.984222,,66.141731,11.333333,9.5,9.5,2.4277482,0
4,45.984222,,68.110237,6.8648648,,,1.9264164,0
,47.992119,,64.566933,9.3540001,10.5,10.5,2.2358041,1
3,45.984222,63.385815,66.929131,4.130435,9.5,10.5,1.4183828,0
3,49.999981,,66.141731,6.6925716,9.5,13.5,1.9009982,1
5,47.992119,,68.897636,9.1052628,,,2.2088525,0
7,47.992119,65.747993,67.716537,3.5999999,9.5,9.5,1.2809339,1
3,50.984219,70.866112,71.653542,10.285714,11.5,11.5,2.3307559,0
5,52.992115,70.866112,72.047241,8.125,10.5,10.5,2.0949457,0
4,45.984222,65.354324,68.110237,8.75,,,2.1690538,0
3,49.999981,68.503929,70.866142,5.8461537,9.5,9.5,1.7657839,0
4,47.992119,65.354324,69.291336,6.2711864,11.5,,1.8359655,0
3,47.007847,63.779522,64.566933,7.7200003,9.5,9.5,2.0438144,1
3,45.984222,64.960617,65.748032,5.4000001,,,1.686399,0
4,45.984222,60.629921,61.811024,4.1666665,,,1.4271163,1
3,44.999985,67.3228,67.716537,4.8717947,10.5,10.5,1.5834624,0
4,49.999981,66.141708,66.141731,10.966487,11.5,15,2.3948441,1
3,49.015743,62.992104,63.385826,8.2508106,10.5,9.5,2.1103115,1
3,47.007847,,68.503937,7.6923075,9.5,9.5,2.0402207,0
4,47.992119,,64.566933,6.9599996,11.5,11.5,1.9401795,1
